Timestamp,Your name,Your age,Gender,Favorite sports team,What car do you drive?,Favorite music,Friend #1 name,How often do you see friend #1?,How did you meet friend #1?,Friend #2 name,How often do you see friend #2?,How did you meet friend #2?,Friend #3 name,How often do you see friend #3?,How did you meet friend #3?,Friend #4 name,How often do you see friend #4?,How did you meet friend #4?,Friend #5 name,How often do you see friend #5?,How did you meet friend #5?
8/27/2026 17:18:00,Ethan Walsh,thirty-four,man,Chicago Fire,ford f150,Country,Camila Reyes,a few times a week,soccer,Bea Lindgren,once a week,neighborhood,,,,,,,,,
8/27/2026 23:35:00,Sam Whitfield ,58,Male,bulls,Toyota corolla,Classical,Miriam Feldman,once a month,soccer,Anthony Russo,twice a month,soccer,,,,,,,,,
8/27/2026 23:43:00,nadia petrov,29,woman,Sox,Toyota Corolla,hip-hop,Priya Natarajan,once a week,soccer,Zoë Fischer,weekly ,hiking club,Kwame Mensah,couple times a week,neighborhood,Camila Reyes,once a week,soccer,Ethan Walsh,weekly,hiking club
8/28/2026 0:16:00,Hannah Kowalski,26,f,White Sox,ford f150,Country,Bea Lindgren,every 2 weeks,club,Camila Reyes,a few times a week,book club,,,,,,,,,
8/28/2026 1:42:00,Brianna  Cole,24,female,Chicago Bulls,no car,rap,diego fuentes,twice a month,school,Chloe  Adebayo,couple times a week,College,,,,,,,,,
8/28/2026 1:53:00,Zoë Fischer,29,Female,Bears,F-150,indie,nadia petrov,once a week,soccer,kwame mensah,twice a month,Club,Lena Vogt,weekly,family,Harriet Boone,weekly ,hiking club,,,
8/28/2026 4:43:00,José Ramírez ,33,m,Chicago Fire,Toyota Corolla,hiphop,Kwame Mensah,every other week,soccer,Sam  Okafor,weekly ,club,,,,,,,,,
8/28/2026 4:59:00,Michael Torres,24,M,bulls,Honda Civic,Pop,Sam Okafor,1x month,neighborhood,Aisha Rahman,weekly,class,Mei Tanaka,a few times a week,class,Kevin Park,a few times a week,college,Chloe  Adebayo,few times/week,college
8/28/2026 7:28:00,Yuki Sato,41,Female,Chicago Bulls,don't drive,classical,Patricia Lowe,twice a month,club,Miriam  Feldman,monthly,club,Renée Dubois,1x month,next door,,,,,,
8/28/2026 8:06:00,victor nakamura,38,m,White Sox,honda civic,Country,Bea Lindgren,Weekly,Neighborhood,Camila Reyes,weekly ,neighborhood,José  Ramírez,every 2 weeks,Club,,,,,,
8/28/2026 13:06:00,Desmond Achebe,41,man,cubs,corolla,Indie rock,Maren Lindqvist,weekly,Club,Lena Vogt,weekly ,hiking club,Caleb Marsh,weekly ,the club,,,,,,
8/28/2026 14:29:00,Beatrice Ng,45 years,female,,Subaru,Jazz,Sam Whitfield,twice a month,hiking club,Walter  Osei,once a month,Club,Felix Baumann,1x month,neighbors,,,,,,
8/28/2026 16:51:00,Tessa Nguyen,20 years,female,,Toyota corolla,Pop,Sofia Marchetti,everyday,work,Rowan Blake,a few times a week,at work,,,,,,,,,
8/28/2026 18:33:00,Elizabeth  Chen,27,F,n/a,Toyota Corolla,hip-hop,Gloria Pemberton,couple times a week,coworkers,Tessa Nguyen,couple times a week,coworkers,Rowan Blake ,weekly ,at work,Sofia Marchetti ,few times/week,coworkers,,,
8/28/2026 22:02:00,Harriet Boone,46,F,bears,Subaru,Indie rock,Zoë Fischer,weekly ,club,Desmond Achebe ,1x month,Club,Maren Lindqvist,1x month,hiking club,Rafael Ortiz,2x a month,neighborhood,,,
8/29/2026 4:26:00,Diego Fuentes,26,man,bulls,Honda Civic,EDM,Mei Tanaka ,3x a week,class,Jordan Vance,3x a week,College,,,,,,,,,
8/29/2026 7:45:00,Sam Okafor ,27,M,Chicago Fire,ford f150,hiphop,Michael Torres,every 2 weeks,neighborhood,Bea Lindgren,once a week,book club,Hannah Kowalski ,weekly,the club,ethan walsh,every 2 weeks,next door,victor nakamura,twice a month,hiking club
8/29/2026 8:20:00,Lena Vogt,35,Female,Chicago Cubs,F-150,indie rock,Desmond Achebe,every other week,Neighborhood,Owen  Gallagher,every other week,the club,,,,,,,,,
